Date,Product Name,Model,Price (AED),Original Price (AED),Discount,Stock Status,Available Qty,Product URL
2025-05-20,Thermaltake The Tower 300 Peach Fuzz Micro-Tower Micro-ATX Gaming Case - Pink | CA-1Y4-00SKWN-00,,599.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-the-tower-300-peach-fuzz-micro-tower-micro-atx-gaming-case-pink-ca-1y4-00skwn-00.html
2025-05-20,Thermaltake The Tower 500 Snow Mid-Tower ATX Gaming Case - White | CA-1X1-00M6WN-00,,630.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-the-tower-500-snow-mid-tower-atx-gaming-case-white-ca-1x1-00m6wn-00.html
2025-05-20,Thermaltake CTE E550 TG Mid-Tower ATX Gaming Case - Gravel Sand | CA-1Z8-00MGWN-00,,599.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-cte-e550-tg-mid-tower-atx-gaming-case-gravel-sand-ca-1z8-00mgwn-00.html
2025-05-20,Thermaltake CTE E550 TG Mid-Tower ATX Gaming Case - Matcha Green | CA-1Z8-00MEWN-00,,650.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-cte-e550-tg-mid-tower-atx-gaming-case-matcha-green-ca-1z8-00mewn-00.html
2025-05-20,Thermaltake CTE E550 TG Snow Mid-Tower ATX Gaming Case - White | CA-1Z8-00M6WN-00,,575.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-cte-e550-tg-snow-mid-tower-atx-gaming-case-white-ca-1z8-00m6wn-00.html
2025-05-20,Thermaltake CTE E550 TG Mid-Tower ATX Gaming Case - Black | CA-1Z8-00M1WN-00,,565.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-cte-e550-tg-mid-tower-atx-gaming-case-black-ca-1z8-00m1wn-00.html
2025-05-20,Thermaltake View 91 TG RGB Super-Tower E-ATX Gaming Case - Black | CA-1I9-00F1WN-00,,1599.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-view-91-tg-rgb-super-tower-e-atx-gaming-case-black-ca-1i9-00f1wn-00.html
2025-05-20,Thermaltake View 200 TG ARGB Snow Mid-Tower ATX Gaming Case - White | CA-1X3-00M6WN-00,,299.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-view-200-tg-argb-snow-mid-tower-atx-gaming-case-white-ca-1x3-00m6wn-00.html
2025-05-20,Thermaltake View 200 TG ARGB Mid-Tower ATX Gaming Case - Black | CA-1X3-00M1WN-00,,275.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-view-200-tg-argb-mid-tower-atx-gaming-case-black-ca-1x3-00m1wn-00.html
2025-05-20,Thermaltake Versa H16 TG ARGB Snow Micro-ATX Tower Case - White | CA-1Y8-00S6WN-01,,240.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-versa-h16-tg-argb-snow-micro-atx-tower-case-white-ca-1y8-00s6wn-01.html
2025-05-20,Thermaltake Versa H16 TG ARGB Micro-ATX Tower Case - Black | CA-1Y8-00S1WN-02,,225.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-versa-h16-tg-argb-micro-atx-tower-case-black-ca-1y8-00s1wn-02.html
2025-05-20,Thermaltake Core P8 Tempered Glass Full-Tower E-ATX Gaming Case - Black | CA-1Q2-00M1WN-00,,800.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-core-p8-tempered-glass-full-tower-e-atx-gaming-case-black-ca-1q2-00m1wn-00.html
2025-05-20,Thermaltake Core P8 TG Full-Tower E-ATX Gaming Case - Black | CA-1Q2-00M1WN-00,,800.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-core-p8-tg-full-tower-e-atx-gaming-case-black-ca-1q2-00m1wn-00.html
2025-05-20,Thermaltake Core P6 Snow TG Mid-Tower ATX Gaming Case - White | CA-1V2-00M6WN-00,,600.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-core-p6-snow-tg-mid-tower-atx-gaming-case-white-ca-1v2-00m6wn-00.html
2025-05-20,Thermaltake Core P6 Tempered Glass Mid-Tower ATX Gaming Case - Black | CA-1V2-00M1WN-00,,,,,Out of Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-core-p6-tempered-glass-mid-tower-atx-gaming-case-black-ca-1v2-00m1wn-00.html
2025-05-20,Thermaltake Core P3 Pro Snow Mid-Tower Open Air ATX Gaming Case - White | CA-1G4-00M6WN-09,,550.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-core-p3-pro-snow-mid-tower-open-air-atx-gaming-case-white-ca-1g4-00m6wn-09.html
2025-05-20,Thermaltake Core P3 Pro Mid-Tower Open Air ATX Gaming Case - Black | CA-1G4-00M1WN-09,,525.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-core-p3-pro-mid-tower-open-air-atx-gaming-case-black-ca-1g4-00m1wn-09.html
2025-05-20,Thermaltake CTE E600 MX Snow Mid-Tower Gaming Case - White | CA-1Y3-00M6WN-00,,750.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-cte-e600-mx-snow-mid-tower-gaming-case-white-ca-1y3-00m6wn-00.html
2025-05-20,Thermaltake CTE E600 MX Hydrangea Mid-Tower Gaming Case - Blue | CA-1Y3-00MFWN-00,,750.0,,,In Stock,,https://gccgamers.com/computer-parts-compnents/thermaltake-cte-e600-mx-hydrangea-mid-tower-gaming-case-blue-ca-1y3-00mfwn-00.html
2025-05-20,Lian Li A3 Mini-Tower Micro-ATX Case - Black | G99.A3X.00,,,,-15%,Out of Stock,,https://gccgamers.com/computer-parts-compnents/lian-li-a3-mini-tower-micro-atx-case-black-g99-a3x-00.html
2025-05-20,Lian Li A3 Mini-Tower Micro-ATX Case - White | G99.A3W.00,,,,-15%,Out of Stock,,https://gccgamers.com/computer-parts-compnents/lian-li-a3-mini-tower-micro-atx-case-white-g99-a3w-00.html
2025-05-20,HYTE Y70 Modern Aesthetic Dual Chamber ATX Mid-Tower Case - Strawberry Milk | CS-HYTE-Y70-SM,,840.0,999.00,-16%,In Stock,,https://gccgamers.com/computer-parts-compnents/hyte-y70-modern-aesthetic-dual-chamber-atx-mid-tower-case-strawberry-milk-cs-hyte-y70-sm.html
